employee_tag,transaction_type,amount,time,device_id
T-8298,,5918.97,2025-11-05 18:30:00,D-220
T-6915,,1838.66,2025-11-14 04:46:00,D-231
T-5201,Purchase,1538.04,2025-11-05 04:21:00,
T-7772,Purchase,1438.7,2025-11-10 05:04:00,D-333
T-8666,Withdrawal,2981.06,2025-11-11 11:29:00,D-203
T-7408,,,2025-11-05 01:37:00,
T-9741,Deposit,16029.67,2025-11-04 12:41:00,D-423
T-5114,Deposit,581.81,2025-11-06 22:21:00,D-135
T-8489,Withdrawal,1417.06,2025-11-10 14:43:00,
T-7515,Purchase,506.88,2025-11-12 11:05:00,D-181
T-5974,Transfer,3957.91,2025-11-09 21:48:00,D-224
T-9392,Purchase,270.69,2025-11-15 05:59:00,D-253
T-7998,Purchase,,2025-11-09 18:39:00,D-189
T-7251,Transfer,846.3,2025-11-15 12:28:00,D-231
T-9697,Transfer,3863.45,2025-11-07 20:01:00,D-497
T-9854,Withdrawal,3767.03,2025-11-04 11:32:00,D-472
T-6478,Withdrawal,4825.37,2025-11-11 01:11:00,D-456
T-8489,Purchase,,2025-11-05 19:01:00,D-200
T-5859,,3469.17,2025-11-05 02:48:00,D-113
T-5887,Purchase,3662.64,2025-11-02 13:45:00,D-346
T-9968,Withdrawal,796.75,2025-11-14 01:00:00,D-404
T-5688,Purchase,1951.99,2025-11-10 06:06:00,D-284
T-7408,,1285.44,2025-11-10 22:55:00,D-324
T-8240,Withdrawal,2562.31,2025-11-14 13:21:00,D-455
T-7861,Deposit,,2025-11-06 16:24:00,D-473
T-8664,Purchase,401.37,2025-11-01 09:57:00,
T-9093,Purchase,942.65,2025-11-06 07:32:00,
T-9988,Withdrawal,1484.95,2025-11-14 16:56:00,D-423
T-5500,Transfer,1225.14,2025-11-13 16:15:00,D-366
T-8263,Purchase,6224.19,2025-11-04 06:24:00,D-279
T-5238,Withdrawal,3455.2,2025-11-12 15:36:00,D-109
T-7608,Withdrawal,507.8,2025-11-11 10:33:00,D-259
T-8750,Deposit,25577.64,2025-11-10 15:37:00,D-360
T-5121,Purchase,381.73,2025-11-02 03:52:00,D-109
T-8666,Purchase,811.21,2025-11-08 12:50:00,
T-9994,Withdrawal,9716.37,2025-11-09 00:12:00,
T-5838,Deposit,2229.11,2025-11-10 15:46:00,D-191
T-5832,Transfer,974.69,2025-11-08 14:15:00,
T-6559,,8085.36,2025-11-07 05:46:00,D-486
T-5540,Purchase,2501.53,2025-11-05 02:27:00,D-134
T-7251,Withdrawal,,2025-11-03 01:26:00,D-297
T-8587,Purchase,1369.26,2025-11-12 15:05:00,D-211
T-5187,Purchase,,2025-11-05 21:14:00,D-111
T-7256,Withdrawal,837.87,2025-11-06 17:35:00,D-164
T-8683,Transfer,,2025-11-14 16:37:00,D-330
T-7686,Transfer,1484.86,2025-11-15 04:16:00,
T-9156,Purchase,1728.52,2025-11-02 21:36:00,D-479
T-9359,Deposit,7053.36,2025-11-15 06:13:00,D-436
T-7199,Purchase,333.51,2025-11-02 19:16:00,D-218
T-7924,Purchase,5076.39,2025-11-08 18:52:00,
T-6897,Deposit,10827.83,2025-11-08 04:37:00,
T-8290,Transfer,,2025-11-01 10:43:00,
T-7744,Purchase,5500.02,2025-11-10 02:57:00,D-155
T-9180,,4321.14,2025-11-05 05:52:00,D-440
T-6381,Withdrawal,7073.35,2025-11-15 14:30:00,D-132
T-6064,Withdrawal,2039.44,2025-11-03 22:44:00,D-292
T-9988,Deposit,2592.0,2025-11-03 11:35:00,D-155
T-5774,,487.71,2025-11-14 00:15:00,D-461
T-7681,Transfer,7617.68,2025-11-05 04:44:00,
T-9838,Withdrawal,1783.41,2025-11-03 03:17:00,
T-9428,Withdrawal,1003.03,2025-11-01 19:41:00,D-189
T-7786,Purchase,,2025-11-02 01:27:00,D-447
T-8715,Purchase,3126.0,2025-11-05 03:45:00,D-291
T-5596,Purchase,3249.88,2025-11-15 07:42:00,D-465
T-8299,Withdrawal,5166.67,2025-11-01 06:12:00,D-185
T-5352,Purchase,5180.48,2025-11-12 18:21:00,D-189
T-6200,Purchase,498.84,2025-11-07 13:18:00,
T-8587,Purchase,978.76,2025-11-07 20:53:00,D-157
T-9067,Purchase,3978.78,2025-11-11 16:44:00,D-454
T-9245,,202.25,2025-11-08 02:49:00,D-251
T-7861,,856.82,2025-11-10 03:18:00,D-207
T-8665,Purchase,4105.78,2025-11-02 14:45:00,D-127
T-9651,Purchase,2461.94,2025-11-04 17:37:00,D-342
T-7990,Purchase,459.2,2025-11-06 01:10:00,
T-6304,Deposit,1288.72,2025-11-04 09:09:00,D-247
T-9741,Purchase,1414.78,2025-11-14 23:46:00,D-454
T-7786,Transfer,1106.06,2025-11-07 19:53:00,
T-7442,Withdrawal,2822.17,2025-11-04 18:37:00,D-395
T-7998,Deposit,10641.85,2025-11-08 02:35:00,D-336
T-9957,Deposit,369.11,2025-11-07 13:05:00,
T-8081,Purchase,1386.92,2025-11-11 19:22:00,D-398
T-8831,Purchase,4078.63,2025-11-12 17:59:00,D-110
T-8664,,1149.45,2025-11-01 22:39:00,D-299
T-5993,Purchase,2218.77,2025-11-04 08:28:00,D-273
T-9854,Deposit,9659.0,2025-11-12 00:20:00,D-363
T-8548,Withdrawal,2037.21,2025-11-12 16:46:00,D-163
T-5187,Purchase,942.65,2025-11-15 13:41:00,D-499
T-8702,Purchase,1619.64,2025-11-14 01:49:00,D-171
T-8318,Withdrawal,4455.49,2025-11-15 15:00:00,D-230
T-6834,Purchase,2617.22,2025-11-13 11:32:00,D-292
T-8831,Withdrawal,680.46,2025-11-12 17:56:00,D-361
T-5941,Purchase,,2025-11-13 00:58:00,D-341
T-6304,Transfer,,2025-11-02 16:08:00,D-358
T-5433,Purchase,1056.83,2025-11-15 00:40:00,
T-9438,Deposit,716.26,2025-11-12 07:22:00,D-474
T-9180,,22777.8,2025-11-12 23:27:00,D-217
T-5774,Purchase,2813.29,2025-11-11 22:02:00,D-366
T-9283,Purchase,1129.42,2025-11-03 01:23:00,D-411
T-9245,Deposit,4586.14,2025-11-12 01:46:00,D-361
T-9957,Deposit,3696.36,2025-11-13 05:23:00,D-434
T-6478,Purchase,5730.23,2025-11-09 05:51:00,D-186
T-9664,Purchase,2063.82,2025-11-13 09:31:00,D-290
T-8290,Withdrawal,1662.02,2025-11-06 06:34:00,D-291
T-6915,Transfer,1156.26,2025-11-08 07:10:00,D-242
T-9283,Transfer,1367.54,2025-11-08 21:21:00,D-131
T-7840,Transfer,2993.6,2025-11-03 15:14:00,D-261
T-8489,Purchase,2048.0,2025-11-04 01:28:00,D-115
T-9690,Deposit,18262.31,2025-11-14 20:49:00,D-288
T-9416,Purchase,1638.79,2025-11-10 19:37:00,D-396
T-8853,Transfer,6068.21,2025-11-03 18:54:00,
T-6381,Purchase,,2025-11-13 15:24:00,D-180
T-5755,Withdrawal,639.49,2025-11-12 19:15:00,D-198
T-6136,Purchase,,2025-11-05 21:11:00,D-197
T-9838,Transfer,5718.12,2025-11-01 21:20:00,D-169
T-9376,,,2025-11-02 00:16:00,D-144
T-9466,Purchase,,2025-11-09 05:15:00,D-371
T-6228,Purchase,2177.53,2025-11-11 06:21:00,D-122
T-6678,Purchase,1029.57,2025-11-06 15:47:00,
T-9534,Purchase,1770.12,2025-11-01 02:43:00,D-380
T-6559,Purchase,1165.84,2025-11-09 21:17:00,D-369
T-6153,Transfer,1165.63,2025-11-04 23:39:00,D-323
T-9416,Withdrawal,3434.87,2025-11-12 05:25:00,
T-5433,Purchase,16998.66,2025-11-03 02:01:00,D-382
T-5214,Withdrawal,1800.0,2025-11-12 06:48:00,D-425
T-5214,Transfer,,2025-11-13 21:52:00,D-122
T-6990,Transfer,6782.26,2025-11-08 16:40:00,D-335
T-9994,Purchase,5394.98,2025-11-08 10:27:00,D-446
T-8532,Purchase,1442.71,2025-11-08 19:51:00,D-411
T-9156,,958.1,2025-11-13 02:23:00,D-456
T-6875,Deposit,345.58,2025-11-10 14:36:00,D-398
T-9180,Deposit,3702.91,2025-11-02 08:22:00,D-340
T-8080,Purchase,3564.55,2025-11-11 15:05:00,
T-9093,Purchase,5240.75,2025-11-02 06:38:00,D-371
T-9534,Purchase,1099.64,2025-11-02 12:46:00,D-381
T-5277,Purchase,905.14,2025-11-06 12:58:00,D-315
T-8853,Withdrawal,1119.28,2025-11-07 20:04:00,D-396
T-5540,Purchase,,2025-11-10 14:28:00,D-362
T-8853,Purchase,1090.67,2025-11-03 20:05:00,D-264
T-7646,Purchase,694.88,2025-11-03 15:45:00,D-104
T-8149,Purchase,2069.24,2025-11-11 10:56:00,D-272
T-6584,Withdrawal,3477.16,2025-11-01 07:52:00,D-342
T-7861,Purchase,928.45,2025-11-08 07:05:00,
T-8741,Purchase,3814.82,2025-11-08 03:31:00,D-330
T-9283,Withdrawal,,2025-11-04 09:04:00,D-250
T-9534,Purchase,3146.54,2025-11-07 04:02:00,D-194
T-9821,Purchase,1239.12,2025-11-15 11:41:00,D-387
T-7744,Purchase,1045.58,2025-11-05 17:45:00,D-359
T-9470,Withdrawal,586.93,2025-11-11 22:26:00,D-363
T-9376,Transfer,,2025-11-13 16:07:00,D-295
T-6926,Withdrawal,1009.1,2025-11-02 09:35:00,D-393
T-9534,,5519.11,2025-11-06 05:38:00,D-491
T-9037,Deposit,12804.46,2025-11-10 11:20:00,D-431
T-6176,,2125.17,2025-11-12 09:15:00,
T-6927,Withdrawal,3886.45,2025-11-12 18:53:00,D-215
T-8741,Purchase,651.37,2025-11-09 05:16:00,D-391
T-9205,,323.91,2025-11-11 06:47:00,D-105
T-7049,Deposit,3583.5,2025-11-01 21:46:00,D-190
T-5277,Withdrawal,4087.02,2025-11-04 02:06:00,D-140
T-7786,Purchase,2659.09,2025-11-01 12:38:00,D-168
T-8198,Purchase,,2025-11-05 18:08:00,D-370
T-9283,Purchase,1079.91,2025-11-15 08:30:00,D-357
T-7686,Withdrawal,2709.81,2025-11-07 05:34:00,D-145
T-8683,Purchase,3690.37,2025-11-15 18:35:00,D-204
T-7322,Purchase,2323.02,2025-11-08 14:22:00,
T-8511,Withdrawal,,2025-11-04 07:30:00,
T-6381,Transfer,3236.21,2025-11-07 11:30:00,
T-7825,Purchase,2542.36,2025-11-02 21:32:00,D-116
T-9741,Deposit,6596.0,2025-11-02 19:39:00,D-277
T-9442,Withdrawal,5194.92,2025-11-10 21:09:00,D-444
T-6136,Transfer,,2025-11-01 04:19:00,D-221
T-8701,Purchase,1924.3,2025-11-14 10:47:00,D-128
T-7138,Deposit,12084.95,2025-11-10 16:21:00,D-146
T-9093,Deposit,4937.64,2025-11-07 02:28:00,D-450
T-7646,Transfer,3967.84,2025-11-01 03:49:00,D-322
T-8080,Transfer,8696.68,2025-11-01 18:01:00,D-300
T-6584,Purchase,1971.5,2025-11-06 09:03:00,D-364
T-8222,Transfer,3953.71,2025-11-12 05:14:00,D-130
T-9825,Deposit,,2025-11-02 05:59:00,D-482
T-9418,Withdrawal,976.2,2025-11-07 01:47:00,D-293
T-6176,Purchase,824.22,2025-11-14 14:29:00,D-198
T-9664,Purchase,218.56,2025-11-11 21:41:00,D-453
T-8299,Purchase,7296.2,2025-11-10 10:08:00,D-416
T-8715,Transfer,1712.75,2025-11-01 09:29:00,D-208
T-8683,Transfer,11446.92,2025-11-05 17:03:00,D-493
T-5540,Purchase,,2025-11-05 00:19:00,D-116
T-6451,Purchase,3264.95,2025-11-05 04:50:00,D-310
T-8548,Purchase,1757.28,2025-11-01 12:02:00,D-260
T-6064,Withdrawal,2781.48,2025-11-01 04:08:00,D-356
T-5974,Purchase,2495.98,2025-11-05 03:17:00,D-378
T-7199,Withdrawal,,2025-11-03 12:10:00,D-316
T-7390,Transfer,7218.26,2025-11-02 00:21:00,D-180
T-6427,Purchase,2625.41,2025-11-15 08:33:00,
T-5608,Purchase,379.48,2025-11-12 10:51:00,D-199
T-5706,Purchase,1052.08,2025-11-11 04:01:00,
T-5187,,1730.71,2025-11-15 22:55:00,D-417
T-7430,Purchase,,2025-11-03 03:12:00,D-402
T-9026,Transfer,1036.92,2025-11-04 05:11:00,D-120
T-9664,Purchase,,2025-11-10 21:44:00,D-371
T-7766,Purchase,781.1,2025-11-08 06:38:00,D-107
T-6228,,2094.05,2025-11-07 21:38:00,D-284
T-6451,Purchase,5073.79,2025-11-09 14:56:00,D-176
T-7138,Withdrawal,486.18,2025-11-14 22:00:00,D-169
T-9567,Transfer,733.73,2025-11-11 02:30:00,D-175
T-5114,Purchase,317.28,2025-11-01 05:46:00,D-300
T-9821,Transfer,1307.62,2025-11-13 09:31:00,D-422
T-8912,Purchase,1785.85,2025-11-15 11:46:00,D-211
T-9689,Purchase,1552.44,2025-11-12 09:25:00,D-458
T-6897,Withdrawal,3909.31,2025-11-01 04:55:00,
T-9376,Transfer,,2025-11-03 02:48:00,D-466
T-9961,Withdrawal,1086.46,2025-11-10 21:37:00,D-299
T-5187,Purchase,1220.92,2025-11-15 20:44:00,
T-5132,Transfer,5655.45,2025-11-10 06:02:00,D-312
T-8116,Purchase,7396.04,2025-11-03 22:42:00,D-123
T-5201,Withdrawal,1323.53,2025-11-02 07:14:00,D-150
T-7840,Purchase,1745.05,2025-11-06 09:11:00,
T-8615,Purchase,3024.19,2025-11-15 06:43:00,D-324
T-5500,Withdrawal,4904.86,2025-11-06 16:37:00,D-136
T-9470,Withdrawal,329.84,2025-11-13 00:59:00,
T-7608,Purchase,3450.56,2025-11-07 21:27:00,D-402
T-5596,Purchase,10566.86,2025-11-13 15:39:00,D-403
T-9478,Withdrawal,4828.4,2025-11-07 16:16:00,D-256
T-9061,Purchase,767.36,2025-11-15 11:51:00,D-172
T-8700,Purchase,5022.83,2025-11-13 17:58:00,D-185
T-7430,Withdrawal,2114.92,2025-11-15 20:58:00,D-306
T-7167,,1466.01,2025-11-05 07:15:00,D-350
T-9037,Transfer,4221.72,2025-11-02 16:47:00,D-159
T-8298,,,2025-11-11 18:01:00,D-415
T-6559,,7895.46,2025-11-01 06:28:00,D-173
T-9195,Transfer,6412.76,2025-11-09 21:16:00,
T-7365,,8644.57,2025-11-02 06:32:00,D-490
T-6231,Purchase,452.77,2025-11-05 16:51:00,D-402
T-8240,Withdrawal,4275.59,2025-11-14 12:40:00,D-209
T-9854,Deposit,3052.59,2025-11-06 14:05:00,D-285
T-5706,Withdrawal,1905.71,2025-11-04 08:05:00,D-142
T-6427,Purchase,634.75,2025-11-14 20:33:00,D-282
T-7199,Purchase,896.69,2025-11-01 06:29:00,
T-7686,Deposit,3763.74,2025-11-07 09:20:00,D-440
T-9067,Purchase,2585.94,2025-11-01 11:43:00,D-369
T-9854,Withdrawal,4577.92,2025-11-01 22:38:00,D-338
T-9283,Withdrawal,2553.92,2025-11-09 03:44:00,D-246
T-9478,Purchase,1325.24,2025-11-03 00:51:00,
T-6882,Withdrawal,561.32,2025-11-09 08:26:00,D-108
T-5993,Withdrawal,406.72,2025-11-09 06:15:00,D-160
T-9093,Purchase,469.1,2025-11-01 01:58:00,D-179
T-9473,Withdrawal,1975.48,2025-11-05 22:48:00,D-450
T-7390,Purchase,2681.08,2025-11-12 21:40:00,D-269
T-6176,Withdrawal,3473.68,2025-11-01 10:25:00,D-353
T-7390,Transfer,7670.09,2025-11-15 04:13:00,
T-5688,Withdrawal,,2025-11-15 08:35:00,D-125
T-8081,Transfer,2982.87,2025-11-09 19:41:00,D-392
T-5596,Withdrawal,3968.32,2025-11-04 06:43:00,D-215
T-8511,Purchase,2074.02,2025-11-03 10:25:00,D-299
T-9392,Purchase,7854.07,2025-11-09 11:26:00,D-487
T-6897,Purchase,6044.65,2025-11-04 16:19:00,D-139
T-9470,Transfer,1279.97,2025-11-15 14:35:00,D-288
T-6678,Purchase,2584.75,2025-11-08 11:35:00,D-120
T-6153,Purchase,2985.93,2025-11-15 12:56:00,D-164
T-5293,Deposit,4837.85,2025-11-06 15:20:00,D-191
T-9205,Purchase,799.64,2025-11-04 21:22:00,D-104
T-6200,Transfer,3062.92,2025-11-02 00:47:00,D-346
T-7138,Withdrawal,13657.24,2025-11-12 06:53:00,
T-8345,Deposit,,2025-11-02 07:54:00,D-372
T-9961,Purchase,,2025-11-14 20:47:00,D-378
T-6559,Purchase,880.28,2025-11-10 03:31:00,D-394
T-5132,Withdrawal,7041.12,2025-11-13 17:38:00,D-227
T-9968,Withdrawal,16995.41,2025-11-07 08:39:00,D-423
T-7390,Purchase,1663.84,2025-11-12 14:38:00,D-151
T-8439,Transfer,,2025-11-06 20:18:00,D-480
T-6427,Purchase,233.18,2025-11-08 21:31:00,D-476
T-8548,,4831.04,2025-11-05 08:39:00,D-273
T-5974,Purchase,3131.19,2025-11-04 10:16:00,D-464
T-5126,Purchase,1887.0,2025-11-11 03:23:00,D-194
T-9988,Withdrawal,3442.22,2025-11-13 15:56:00,D-123
T-9994,Deposit,719.28,2025-11-07 22:44:00,D-138
T-9821,Purchase,6650.43,2025-11-09 14:04:00,D-374
T-7390,Transfer,4441.37,2025-11-15 18:28:00,D-442
T-9156,,247.88,2025-11-02 01:06:00,D-176
T-8741,Purchase,457.78,2025-11-01 10:21:00,D-466
T-7515,Purchase,,2025-11-01 17:51:00,D-414
T-8665,Withdrawal,4860.88,2025-11-12 21:17:00,D-395
T-6937,,2585.32,2025-11-11 02:52:00,D-351
T-7608,Transfer,4309.22,2025-11-12 22:00:00,D-195
T-9461,,4847.32,2025-11-03 19:26:00,D-176
T-5596,Purchase,2927.42,2025-11-13 08:24:00,D-437
T-5433,Transfer,3478.14,2025-11-13 01:40:00,D-431
T-9418,Purchase,1578.9,2025-11-13 09:36:00,D-154
T-9428,Transfer,1996.45,2025-11-07 22:30:00,D-406
T-5596,Transfer,9193.44,2025-11-02 18:55:00,D-212
T-6400,Purchase,4149.75,2025-11-06 14:20:00,D-119
T-7608,Deposit,4797.57,2025-11-08 16:33:00,D-440
T-5132,Purchase,3751.25,2025-11-03 15:46:00,D-304
T-8683,Withdrawal,6126.89,2025-11-06 01:41:00,
T-5121,Purchase,576.75,2025-11-14 20:51:00,D-228
T-9024,Deposit,869.53,2025-11-03 07:53:00,D-214
T-9994,Purchase,1307.08,2025-11-01 21:31:00,D-407
T-6153,Transfer,2356.78,2025-11-07 09:00:00,D-209
T-8489,Purchase,4385.35,2025-11-01 17:16:00,D-156
T-8081,Withdrawal,4634.59,2025-11-09 11:36:00,D-390
T-6584,Transfer,3156.55,2025-11-01 00:50:00,D-212
T-5391,Purchase,,2025-11-10 09:15:00,D-412
T-9452,Purchase,327.14,2025-11-13 07:33:00,D-338
T-7167,Purchase,1688.33,2025-11-09 04:34:00,
T-7825,Withdrawal,3121.09,2025-11-03 04:18:00,D-223
T-7772,Purchase,7071.99,2025-11-05 19:22:00,D-177
T-5608,Withdrawal,,2025-11-07 22:52:00,D-459
T-9473,Purchase,4510.17,2025-11-07 09:25:00,D-282
T-7840,Purchase,330.8,2025-11-08 03:41:00,
T-6451,Purchase,2190.63,2025-11-08 01:33:00,D-120
T-7772,Transfer,1010.4,2025-11-09 07:36:00,D-197
T-5838,Purchase,401.26,2025-11-08 09:25:00,D-418
T-5238,Transfer,1124.94,2025-11-04 15:24:00,D-496
T-9359,Purchase,8564.59,2025-11-04 04:02:00,D-237
T-6405,Purchase,1689.17,2025-11-04 09:42:00,
T-9283,Purchase,2889.26,2025-11-10 10:58:00,D-412
T-5993,Transfer,1112.1,2025-11-03 06:35:00,D-243
T-6897,Transfer,550.36,2025-11-03 08:50:00,D-336
T-5691,Transfer,986.86,2025-11-08 09:37:00,D-161
T-8918,Deposit,514.39,2025-11-03 04:33:00,D-394
T-9988,Withdrawal,5589.98,2025-11-08 20:23:00,D-485
T-8665,Purchase,8482.77,2025-11-08 10:05:00,D-485
T-9026,Deposit,2862.62,2025-11-07 21:18:00,D-431
T-5500,Purchase,3608.65,2025-11-01 23:59:00,D-490
T-6322,Purchase,,2025-11-04 00:18:00,D-322
T-5750,Purchase,,2025-11-10 05:31:00,D-337
T-7744,,541.75,2025-11-06 04:29:00,D-344
T-6529,Deposit,3571.24,2025-11-01 10:07:00,D-463
T-8198,Purchase,3537.84,2025-11-14 09:34:00,D-431
T-6136,Purchase,2873.09,2025-11-06 21:44:00,D-179
T-9428,Withdrawal,2794.04,2025-11-03 23:08:00,D-390
T-9061,Purchase,245.61,2025-11-10 00:39:00,D-245
T-5520,Withdrawal,5354.63,2025-11-07 10:03:00,D-151
T-8794,Purchase,1174.14,2025-11-06 23:54:00,D-196
T-9456,Purchase,817.2,2025-11-13 12:12:00,D-492
T-8779,Purchase,3990.56,2025-11-15 16:35:00,D-205
T-9674,Withdrawal,7840.43,2025-11-04 19:23:00,D-466
T-9456,Transfer,6100.27,2025-11-07 12:14:00,D-135
T-6678,Withdrawal,565.29,2025-11-11 05:05:00,D-448
T-7924,,657.52,2025-11-09 04:12:00,D-305
T-6084,Purchase,1838.29,2025-11-08 13:29:00,D-401
T-5832,Transfer,3669.75,2025-11-14 10:27:00,D-492
T-6161,,2943.84,2025-11-13 07:09:00,
T-5755,Deposit,4071.26,2025-11-03 21:24:00,D-212
T-6494,Transfer,9343.0,2025-11-14 11:54:00,D-329
T-7772,Withdrawal,3057.49,2025-11-04 02:39:00,D-131
T-9664,Purchase,,2025-11-06 19:13:00,D-489
T-5608,Withdrawal,,2025-11-15 03:57:00,D-274
T-6466,Transfer,1255.5,2025-11-14 15:43:00,D-373
T-9452,Purchase,2005.45,2025-11-09 00:04:00,D-130
T-7430,Transfer,11792.26,2025-11-07 19:47:00,D-263
T-7430,,1460.8,2025-11-06 16:02:00,D-298
T-9651,Purchase,722.27,2025-11-03 01:26:00,D-381
T-6228,Withdrawal,3025.76,2025-11-11 06:00:00,D-179
T-9854,Purchase,1255.11,2025-11-03 06:22:00,D-441
T-9988,Purchase,,2025-11-08 04:56:00,D-290
T-7170,Withdrawal,2726.08,2025-11-15 00:14:00,D-273
T-8587,,,2025-11-01 01:27:00,D-291
T-8548,Purchase,2988.71,2025-11-05 18:28:00,D-388
T-5750,Withdrawal,374.72,2025-11-01 12:35:00,D-398
T-6834,Purchase,3410.05,2025-11-12 03:45:00,D-167
T-8701,Purchase,1466.89,2025-11-02 19:52:00,D-257
T-8750,Transfer,2583.41,2025-11-12 09:39:00,D-127
T-5615,,,2025-11-08 04:46:00,D-369
T-6228,Purchase,2674.75,2025-11-01 17:01:00,D-147
T-9961,Deposit,3360.1,2025-11-15 19:42:00,D-453
T-9054,Purchase,3372.22,2025-11-06 21:47:00,D-362
T-5832,Purchase,1406.85,2025-11-14 15:22:00,D-195
T-6176,Transfer,5853.41,2025-11-10 18:39:00,D-491
T-9867,Transfer,9523.62,2025-11-13 22:08:00,D-469
T-8222,,3391.47,2025-11-08 10:42:00,D-490
T-5520,Purchase,940.59,2025-11-13 07:52:00,
T-7840,Purchase,934.55,2025-11-04 00:22:00,D-201
T-8489,Purchase,1225.03,2025-11-11 19:16:00,D-261
T-9157,Withdrawal,2381.6,2025-11-08 18:45:00,D-195
T-7786,Purchase,1919.73,2025-11-15 01:27:00,D-447
