shipment_id,item,device_id,handler_code,destination,time
S16874,Microchip Box,D-330,H-7629,Singapore,2025-11-05 13:48:00
S7470,Hardware Unit,D-433,H-8476,Berlin,2025-11-09 02:56:00
S7032,Microchip Box,D-197,H-4572,Singapore,2025-11-14 00:58:00
S7244,Server Component,D-344,H-6934,Singapore,2025-11-05 00:36:00
S3788,Hardware Unit,D-379,,Delhi,2025-11-01 11:35:00
S11872,Server Component,D-411,H-3519,Delhi,2025-11-09 16:56:00
S10184,Hardware Unit,D-141,H-7680,Singapore,2025-11-03 08:12:00
S8586,Server Component,D-174,H-4459,Tokyo,2025-11-14 13:55:00
S19405,Server Component,D-149,H-8973,Mumbai,2025-11-09 17:22:00
S3555,,D-102,H-8029,Mumbai,2025-11-15 14:48:00
S12855,Microchip Box,D-405,H-8656,Tokyo,2025-11-04 23:11:00
S16230,Server Component,D-385,H-9459,Mumbai,2025-11-01 07:40:00
S20642,Microchip Box,D-435,H-4787,Mumbai,2025-11-15 02:59:00
S14732,Microchip Box,D-218,H-5066,New York,2025-11-15 02:41:00
S19141,Lab Equipment,D-436,H-2967,Singapore,2025-11-08 03:20:00
S20693,Microchip Box,D-207,H-5915,Mumbai,2025-11-10 19:22:00
S9335,Microchip Box,D-102,H-7350,,2025-11-14 20:26:00
S13367,,D-244,H-2150,New York,2025-11-05 18:37:00
S19140,Hardware Unit,D-291,H-9461,Singapore,2025-11-13 10:28:00
S6798,Hardware Unit,D-498,,Berlin,2025-11-01 06:28:00
S2661,Hardware Unit,D-264,H-9083,Delhi,2025-11-14 08:38:00
S13554,Microchip Box,D-484,H-3080,Berlin,2025-11-11 16:37:00
S8954,Hardware Unit,D-480,H-1385,,2025-11-09 04:08:00
S17269,Hardware Unit,D-453,H-6279,Mumbai,2025-11-14 06:38:00
S10768,Microchip Box,D-424,H-3656,Delhi,2025-11-07 12:52:00
S9819,Hardware Unit,D-352,H-2704,Delhi,2025-11-05 21:48:00
S19474,Hardware Unit,D-233,H-9044,Tokyo,2025-11-08 01:29:00
S1269,Server Component,D-471,H-7248,New York,2025-11-03 05:55:00
S8626,Microchip Box,D-150,H-3432,Berlin,2025-11-09 13:58:00
S13374,Hardware Unit,D-136,H-5109,,2025-11-14 04:40:00
S20912,Hardware Unit,D-293,H-2058,Tokyo,2025-11-09 03:18:00
S8341,Server Component,D-454,,Mumbai,2025-11-02 23:56:00
S17461,Server Component,D-107,H-4861,Mumbai,2025-11-01 01:35:00
S10050,Server Component,D-372,H-6301,Delhi,2025-11-13 10:47:00
S18640,Microchip Box,D-498,H-1934,,2025-11-01 01:18:00
S19253,Lab Equipment,D-461,H-6122,Tokyo,2025-11-02 00:21:00
S10380,Server Component,,H-9040,,2025-11-14 03:52:00
S15085,Lab Equipment,D-442,H-2335,Singapore,2025-11-04 03:35:00
S5031,Hardware Unit,D-369,H-3533,New York,2025-11-04 22:21:00
S8916,Hardware Unit,D-483,H-1743,,2025-11-10 06:21:00
S8761,Hardware Unit,D-450,H-9517,Delhi,2025-11-10 13:23:00
S3551,Hardware Unit,,H-4417,Mumbai,2025-11-07 17:29:00
S12128,Server Component,D-373,H-3345,Delhi,2025-11-08 12:47:00
S18784,Lab Equipment,,H-6598,Tokyo,2025-11-04 00:21:00
S11045,,D-124,H-4037,Mumbai,2025-11-04 14:32:00
S11613,Lab Equipment,D-184,H-1292,Delhi,2025-11-03 08:21:00
S2063,Server Component,D-310,H-8873,Singapore,2025-11-06 14:23:00
S20628,Server Component,D-284,H-6564,New York,2025-11-09 05:43:00
S12948,Lab Equipment,,H-9545,Delhi,2025-11-08 14:01:00
S3197,Lab Equipment,D-337,H-6595,Mumbai,2025-11-11 16:21:00
S13483,Lab Equipment,,H-3048,Mumbai,2025-11-01 08:14:00
S5383,Microchip Box,D-316,H-3238,Mumbai,2025-11-14 05:19:00
S11742,Lab Equipment,,H-907,Delhi,2025-11-04 22:46:00
S2756,Hardware Unit,D-155,H-5457,Tokyo,2025-11-01 15:52:00
S17965,Microchip Box,D-267,H-1748,Tokyo,2025-11-13 16:04:00
S10519,Lab Equipment,D-263,H-1391,Delhi,2025-11-12 04:34:00
S14946,Server Component,D-417,H-1486,Mumbai,2025-11-14 17:40:00
S3762,Lab Equipment,D-323,H-6438,Mumbai,2025-11-11 12:58:00
S14584,Hardware Unit,D-367,H-5550,Tokyo,2025-11-15 19:11:00
S11145,Microchip Box,D-311,H-8731,Tokyo,2025-11-08 23:54:00
S9913,Hardware Unit,,H-4760,Delhi,2025-11-05 21:26:00
S3340,,D-461,H-3290,Mumbai,2025-11-08 02:10:00
S18028,Microchip Box,D-289,H-8927,New York,2025-11-03 12:56:00
S20917,,D-481,H-5348,Berlin,2025-11-12 15:24:00
S6866,Lab Equipment,D-165,H-6992,Mumbai,2025-11-03 10:23:00
S15567,Hardware Unit,D-452,H-9499,Mumbai,2025-11-03 12:44:00
S1359,Lab Equipment,D-311,H-6481,Delhi,2025-11-15 21:44:00
S1739,Lab Equipment,D-320,H-4006,,2025-11-15 09:06:00
S19743,Lab Equipment,D-157,H-8796,Berlin,2025-11-07 19:15:00
S18275,Hardware Unit,,,Mumbai,2025-11-02 01:20:00
S17732,Server Component,D-266,H-7206,New York,2025-11-08 21:44:00
S14652,Server Component,D-188,H-8159,,2025-11-01 16:06:00
S19347,Microchip Box,D-134,H-3347,Mumbai,2025-11-12 19:56:00
S15894,Microchip Box,D-447,H-2002,Tokyo,2025-11-09 01:59:00
S6505,Lab Equipment,D-328,H-7406,Tokyo,2025-11-12 21:16:00
S15723,Hardware Unit,D-474,H-9072,Tokyo,2025-11-09 09:29:00
S4413,Lab Equipment,D-475,H-9750,Mumbai,2025-11-06 19:05:00
S5914,Hardware Unit,D-406,H-6934,Singapore,2025-11-04 00:22:00
S9841,Microchip Box,D-430,H-7498,,2025-11-10 20:10:00
S6220,Hardware Unit,D-211,H-1449,,2025-11-01 20:18:00
S18246,Microchip Box,D-432,H-1354,,2025-11-14 14:14:00
S4102,Hardware Unit,D-218,H-2157,Tokyo,2025-11-04 13:37:00
S12950,,D-330,H-4722,Mumbai,2025-11-04 00:06:00
S13660,,D-305,,Mumbai,2025-11-08 17:52:00
S20250,Server Component,D-497,H-6037,New York,2025-11-15 18:29:00
S16875,Server Component,D-228,H-8812,Delhi,2025-11-09 09:04:00
S12970,Lab Equipment,D-244,H-6136,New York,2025-11-02 00:52:00
S13746,,D-168,H-8886,Berlin,2025-11-07 00:53:00
S2359,Microchip Box,D-319,H-7327,Mumbai,2025-11-12 10:13:00
S10256,Lab Equipment,D-329,H-9353,Singapore,2025-11-08 09:44:00
S12022,Hardware Unit,D-350,H-7489,New York,2025-11-10 13:32:00
S20507,Hardware Unit,D-437,H-9631,Delhi,2025-11-06 04:27:00
S20430,Hardware Unit,D-170,,New York,2025-11-01 14:59:00
S9127,Hardware Unit,D-335,H-8631,,2025-11-08 06:24:00
S4238,Microchip Box,D-198,H-9891,Delhi,2025-11-03 21:38:00
S18574,Lab Equipment,,H-6438,,2025-11-13 21:53:00
S15990,Lab Equipment,D-311,H-1929,Mumbai,2025-11-10 08:57:00
S13024,Lab Equipment,D-479,H-2809,New York,2025-11-06 22:38:00
S13850,Lab Equipment,D-282,H-4645,Berlin,2025-11-15 20:34:00
S14950,Microchip Box,D-347,H-9130,Delhi,2025-11-10 21:27:00
S9098,Server Component,D-454,H-3605,Berlin,2025-11-15 18:08:00
S1403,Hardware Unit,D-337,H-6796,Singapore,2025-11-05 10:44:00
S10537,Server Component,D-266,H-6941,New York,2025-11-05 06:38:00
S16204,Hardware Unit,D-360,H-9522,Berlin,2025-11-14 19:27:00
S4214,Hardware Unit,D-493,H-9589,Berlin,2025-11-13 01:25:00
S4105,,D-344,H-2735,Mumbai,2025-11-03 14:12:00
S11676,Hardware Unit,D-111,H-7830,Mumbai,2025-11-10 11:52:00
S7873,Hardware Unit,,H-1490,Delhi,2025-11-07 07:08:00
S16730,Hardware Unit,D-190,,Mumbai,2025-11-02 07:21:00
S1601,Hardware Unit,D-139,H-5372,Tokyo,2025-11-10 01:33:00
S11192,Lab Equipment,,H-9353,Mumbai,2025-11-12 22:10:00
S12314,Microchip Box,D-451,H-6022,Mumbai,2025-11-09 12:12:00
S12296,Server Component,D-108,H-7969,Delhi,2025-11-15 11:13:00
S5250,Server Component,D-472,H-7229,New York,2025-11-14 22:16:00
S15320,Lab Equipment,D-144,H-8912,New York,2025-11-13 15:05:00
S19502,Lab Equipment,D-362,H-9115,Mumbai,2025-11-06 15:56:00
S9683,Hardware Unit,D-165,H-5046,,2025-11-15 12:48:00
S14581,Lab Equipment,D-233,H-9297,Delhi,2025-11-14 12:51:00
S2679,Server Component,D-439,H-9107,Mumbai,2025-11-04 18:56:00
S14873,Lab Equipment,D-165,H-2316,Berlin,2025-11-04 22:05:00
S19176,Server Component,D-432,H-9233,Berlin,2025-11-04 20:43:00
S2980,Server Component,D-424,H-5137,Berlin,2025-11-13 00:23:00
S14074,Lab Equipment,D-141,H-2915,Mumbai,2025-11-09 18:29:00
S14227,Microchip Box,D-284,H-7781,Berlin,2025-11-01 07:50:00
S7392,Hardware Unit,D-263,H-9802,Delhi,2025-11-03 17:48:00
S14416,,D-295,H-4419,Berlin,2025-11-15 02:51:00
S1702,Microchip Box,D-291,H-1440,Delhi,2025-11-15 19:29:00
S5326,Microchip Box,D-323,H-8200,Mumbai,2025-11-05 04:58:00
S19758,Microchip Box,D-485,H-4646,Delhi,2025-11-11 22:19:00
S8461,Server Component,,H-3086,Singapore,2025-11-05 18:47:00
S12090,Lab Equipment,D-163,H-7251,New York,2025-11-10 18:52:00
S10807,Microchip Box,,H-9228,Mumbai,2025-11-12 15:32:00
S3356,Lab Equipment,D-396,,Berlin,2025-11-01 18:52:00
S18550,Microchip Box,D-331,H-2909,Singapore,2025-11-03 13:06:00
S7297,Hardware Unit,D-482,H-2404,Mumbai,2025-11-07 10:28:00
S6937,Server Component,D-496,H-4693,Mumbai,2025-11-07 20:42:00
S12212,Lab Equipment,D-474,H-2929,Delhi,2025-11-03 01:00:00
S12072,Lab Equipment,D-434,H-2659,Tokyo,2025-11-06 08:25:00
S20033,Server Component,D-446,H-1565,Berlin,2025-11-15 09:03:00
S16668,Hardware Unit,D-312,H-6013,Berlin,2025-11-10 16:45:00
S8573,Hardware Unit,D-445,H-7179,Mumbai,2025-11-04 17:15:00
S14385,Hardware Unit,D-182,H-7297,,2025-11-05 22:37:00
S6462,Hardware Unit,D-478,H-2823,,2025-11-11 02:18:00
S17630,,D-317,H-7089,Delhi,2025-11-14 21:11:00
S6259,Microchip Box,D-369,H-2824,Tokyo,2025-11-15 12:43:00
S13783,Server Component,D-334,H-4032,Mumbai,2025-11-03 17:24:00
S6592,Server Component,D-119,H-1670,Singapore,2025-11-06 07:35:00
S9890,Lab Equipment,D-286,H-4467,Delhi,2025-11-12 21:56:00
S10387,Lab Equipment,D-383,H-3891,,2025-11-01 11:24:00
S6310,Hardware Unit,D-212,H-9186,Mumbai,2025-11-05 13:10:00
S15455,,D-190,H-7733,Singapore,2025-11-03 06:18:00
S11298,,D-337,H-6352,Mumbai,2025-11-06 08:35:00
S13536,Server Component,D-406,H-3096,Mumbai,2025-11-05 07:20:00
S17385,Hardware Unit,,H-8672,Singapore,2025-11-07 16:22:00
S11033,Hardware Unit,D-307,H-4315,,2025-11-12 04:16:00
S14573,Lab Equipment,D-479,H-6072,Delhi,2025-11-01 12:54:00
S14104,Microchip Box,D-103,H-9429,New York,2025-11-09 18:26:00
S11728,Hardware Unit,D-472,H-904,Singapore,2025-11-10 17:45:00
S1981,Microchip Box,D-242,H-4068,Singapore,2025-11-13 12:48:00
S8020,Server Component,D-175,H-971,Mumbai,2025-11-06 00:07:00
S3289,Hardware Unit,D-270,H-1414,,2025-11-10 06:42:00
S6878,Lab Equipment,D-237,H-904,Mumbai,2025-11-12 22:52:00
S7199,Microchip Box,D-398,H-4239,Berlin,2025-11-10 09:11:00
S11719,Microchip Box,D-320,H-3007,,2025-11-06 14:11:00
S12774,Hardware Unit,D-283,H-5017,Tokyo,2025-11-09 04:18:00
S15703,Server Component,D-309,H-6979,Delhi,2025-11-14 17:39:00
S17662,Hardware Unit,D-236,H-9937,Mumbai,2025-11-04 22:01:00
S9435,Lab Equipment,D-463,H-8300,New York,2025-11-08 16:21:00
S5142,Hardware Unit,D-497,H-7406,Tokyo,2025-11-09 13:51:00
S14552,Microchip Box,D-487,H-3436,New York,2025-11-13 00:15:00
S9571,Lab Equipment,D-268,,,2025-11-12 02:34:00
S9738,,D-393,H-9094,Delhi,2025-11-07 21:53:00
S17396,Microchip Box,D-360,H-5650,Berlin,2025-11-14 14:14:00
S17811,Lab Equipment,D-462,,New York,2025-11-14 06:54:00
S13045,Lab Equipment,D-206,,Mumbai,2025-11-01 03:18:00
S9988,Server Component,D-451,H-3317,,2025-11-09 13:23:00
S19467,Hardware Unit,,H-9679,Singapore,2025-11-08 23:53:00
S12636,Server Component,D-470,H-8396,Berlin,2025-11-14 13:00:00
S12381,Microchip Box,D-227,H-9267,Delhi,2025-11-02 05:15:00
S14089,Hardware Unit,D-495,H-3238,Mumbai,2025-11-15 09:43:00
S4427,Lab Equipment,D-150,H-6447,Delhi,2025-11-03 16:45:00
S19110,Lab Equipment,D-352,H-3325,Berlin,2025-11-04 05:06:00
S11844,,D-364,,Delhi,2025-11-14 02:01:00
S14952,Microchip Box,D-211,H-2752,New York,2025-11-11 17:51:00
S1628,Server Component,,H-6968,Delhi,2025-11-07 03:56:00
S20614,Lab Equipment,D-139,H-4018,Mumbai,2025-11-03 12:21:00
S9669,Hardware Unit,D-371,H-3013,Delhi,2025-11-02 05:40:00
S2047,Hardware Unit,D-150,H-4740,Mumbai,2025-11-14 23:53:00
S12346,,D-278,H-5833,Berlin,2025-11-06 02:06:00
S12761,Microchip Box,D-401,H-8583,Mumbai,2025-11-15 16:10:00
S8635,Server Component,D-457,,Delhi,2025-11-02 14:21:00
S8360,Lab Equipment,D-149,,Singapore,2025-11-14 05:01:00
